"Date","Price","Open","High","Low","Change %"
"Apr 07, 2017","0.8882","0.8874","0.8889","0.8865","0.05%"
"Apr 06, 2017","0.8878","0.8871","0.8887","0.8870","0.03%"
"Apr 05, 2017","0.8875","0.8857","0.8880","0.8857","0.14%"
"Apr 04, 2017","0.8863","0.8857","0.8864","0.8856","0.01%"
"Apr 03, 2017","0.8862","0.8856","0.8863","0.8855","0.00%"
"Mar 31, 2017","0.8862","0.8864","0.8888","0.8856","-0.06%"
"Mar 30, 2017","0.8867","0.8865","0.8877","0.8861","-0.02%"
"Mar 29, 2017","0.8869","0.8854","0.8879","0.8853","0.14%"
"Mar 28, 2017","0.8857","0.8843","0.8869","0.8842","0.09%"
"Mar 27, 2017","0.8849","0.8857","0.8864","0.8836","-0.16%"
"Mar 24, 2017","0.8863","0.8863","0.8884","0.8857","-0.03%"
"Mar 23, 2017","0.8866","0.8857","0.8878","0.8855","0.05%"
"Mar 22, 2017","0.8862","0.8862","0.8880","0.8855","-0.08%"
"Mar 21, 2017","0.8869","0.8891","0.8901","0.8862","-0.31%"
"Mar 20, 2017","0.8897","0.8889","0.8901","0.8887","0.03%"
"Mar 17, 2017","0.8894","0.8881","0.8901","0.8880","0.10%"
"Mar 16, 2017","0.8885","0.8901","0.8907","0.8872","-0.21%"
"Mar 15, 2017","0.8904","0.8900","0.8905","0.8893","0.02%"
"Mar 14, 2017","0.8902","0.8901","0.8911","0.8895","-0.03%"
"Mar 13, 2017","0.8905","0.8892","0.8906","0.8890","0.07%"
"Mar 10, 2017","0.8899","0.8898","0.8915","0.8888","-0.02%"
"Mar 09, 2017","0.8901","0.8899","0.8912","0.8891","0.00%"
"Mar 08, 2017","0.8901","0.8887","0.8902","0.8883","0.12%"
"Mar 07, 2017","0.8890","0.8881","0.8896","0.8880","0.08%"
"Mar 06, 2017","0.8883","0.8881","0.8889","0.8868","-0.01%"
"Mar 03, 2017","0.8884","0.8872","0.8898","0.8870","0.09%"
"Mar 02, 2017","0.8876","0.8862","0.8877","0.8858","0.12%"
"Mar 01, 2017","0.8865","0.8846","0.8866","0.8845","0.19%"
"Feb 28, 2017","0.8848","0.8848","0.8855","0.8839","-0.05%"
"Feb 27, 2017","0.8852","0.8844","0.8867","0.8843","0.01%"
"Feb 24, 2017","0.8851","0.8843","0.8863","0.8842","0.02%"
"Feb 23, 2017","0.8849","0.8861","0.8871","0.8842","-0.15%"
"Feb 22, 2017","0.8862","0.8865","0.8869","0.8857","-0.09%"
"Feb 21, 2017","0.8870","0.8859","0.8877","0.8859","0.08%"
"Feb 20, 2017","0.8863","0.8844","0.8869","0.8843","0.18%"
"Feb 17, 2017","0.8847","0.8830","0.8857","0.8829","0.17%"
"Feb 16, 2017","0.8832","0.8851","0.8854","0.8822","-0.25%"
"Feb 15, 2017","0.8854","0.8846","0.8861","0.8841","0.03%"
"Feb 14, 2017","0.8851","0.8864","0.8879","0.8836","-0.20%"
"Feb 13, 2017","0.8869","0.8864","0.8883","0.8851","0.02%"
"Feb 10, 2017","0.8867","0.8849","0.8871","0.8849","0.15%"
"Feb 09, 2017","0.8854","0.8854","0.8859","0.8841","-0.03%"
"Feb 08, 2017","0.8857","0.8870","0.8887","0.8851","-0.18%"
"Feb 07, 2017","0.8873","0.8842","0.8876","0.8841","0.31%"
"Feb 06, 2017","0.8846","0.8848","0.8857","0.8837","-0.10%"
"Feb 03, 2017","0.8855","0.8862","0.8869","0.8845","-0.16%"
"Feb 02, 2017","0.8869","0.8862","0.8870","0.8861","0.00%"
"Feb 01, 2017","0.8869","0.8863","0.8871","0.8861","-0.01%"
"Jan 31, 2017","0.8870","0.8864","0.8871","0.8862","0.00%"
"Jan 30, 2017","0.8870","0.8863","0.8871","0.8862","0.01%"
"Jan 27, 2017","0.8869","0.8864","0.8871","0.8861","-0.02%"
"Jan 26, 2017","0.8871","0.8870","0.8878","0.8853","-0.02%"
"Jan 25, 2017","0.8873","0.8837","0.8877","0.8837","0.35%"
"Jan 24, 2017","0.8842","0.8833","0.8850","0.8815","0.06%"
"Jan 23, 2017","0.8837","0.8859","0.8863","0.8808","-0.30%"
"Jan 20, 2017","0.8864","0.8853","0.8871","0.8840","0.07%"
"Jan 19, 2017","0.8858","0.8813","0.8869","0.8813","0.45%"
"Jan 18, 2017","0.8818","0.8834","0.8863","0.8803","-0.24%"
"Jan 17, 2017","0.8839","0.8895","0.8904","0.8833","-0.67%"
"Jan 16, 2017","0.8899","0.8895","0.8901","0.8885","0.01%"
"Jan 13, 2017","0.8898","0.8884","0.8904","0.8878","0.11%"
"Jan 12, 2017","0.8888","0.8944","0.8949","0.8880","-0.65%"
"Jan 11, 2017","0.8946","0.8921","0.8946","0.8920","0.24%"
"Jan 10, 2017","0.8925","0.8941","0.8946","0.8920","-0.21%"
"Jan 09, 2017","0.8944","0.8920","0.8946","0.8919","0.24%"
"Jan 06, 2017","0.8923","0.8881","0.8951","0.8863","0.43%"
"Jan 05, 2017","0.8885","0.8938","0.8944","0.8856","-0.64%"
"Jan 04, 2017","0.8942","0.8970","0.8974","0.8937","-0.36%"
"Jan 03, 2017","0.8974","0.8950","0.8979","0.8948","0.23%"
"Jan 02, 2017","0.8953","0.8952","0.8956","0.8947","-0.03%"
