Date,Open,High,Low,Close,Adj Close,Volume
2017-03-06,4.640000,4.680000,4.630000,4.640000,4.243570,95469655
2017-03-07,4.640000,4.680000,4.630000,4.680000,4.280153,85552347
2017-03-08,4.660000,4.700000,4.660000,4.690000,4.289299,63630200
2017-03-09,4.680000,4.720000,4.670000,4.700000,4.298444,128547007
2017-03-10,4.700000,4.710000,4.680000,4.710000,4.307590,52331446
2017-03-13,4.700000,4.730000,4.680000,4.730000,4.325881,67420857
2017-03-14,4.720000,4.770000,4.720000,4.760000,4.353318,69701533
2017-03-15,4.760000,4.760000,4.710000,4.750000,4.344172,58352533
2017-03-16,4.740000,4.750000,4.690000,4.700000,4.298444,118257619
2017-03-17,4.710000,4.720000,4.670000,4.690000,4.289299,81224950
2017-03-20,4.700000,4.730000,4.690000,4.710000,4.307590,83580778
2017-03-21,4.700000,4.720000,4.690000,4.710000,4.307590,57111312
2017-03-22,4.710000,4.710000,4.650000,4.660000,4.261862,112956144
2017-03-23,4.670000,4.690000,4.650000,4.670000,4.271007,89150340
2017-03-24,4.670000,4.690000,4.630000,4.690000,4.289299,96980598
2017-03-27,4.670000,4.760000,4.660000,4.750000,4.344172,157533741
2017-03-28,4.750000,4.760000,4.720000,4.750000,4.344172,76414039
2017-03-29,4.740000,4.780000,4.730000,4.780000,4.371609,98222012
2017-03-30,4.770000,4.830000,4.730000,4.810000,4.399046,127671435
2017-03-31,4.780000,4.880000,4.770000,4.840000,4.426483,130354357
2017-04-05,4.840000,4.860000,4.810000,4.850000,4.435628,109486990
2017-04-06,4.850000,4.860000,4.800000,4.830000,4.417337,62979558
2017-04-07,4.820000,4.870000,4.810000,4.860000,4.444774,89335104
2017-04-10,4.860000,4.870000,4.810000,4.830000,4.417337,58855666
2017-04-11,4.810000,4.830000,4.780000,4.800000,4.389900,81013654
2017-04-12,4.790000,4.880000,4.780000,4.850000,4.435628,113810215
2017-04-13,4.840000,4.840000,4.790000,4.810000,4.399046,79977033
2017-04-14,4.800000,4.820000,4.780000,4.810000,4.399046,45011667
2017-04-17,4.790000,4.830000,4.750000,4.830000,4.417337,112989883
2017-04-18,4.800000,4.810000,4.770000,4.790000,4.380754,61091798
2017-04-19,4.770000,4.790000,4.730000,4.740000,4.335026,89715577
2017-04-20,4.730000,4.770000,4.720000,4.730000,4.325881,64197339
2017-04-21,4.730000,4.830000,4.720000,4.810000,4.399046,125002644
2017-04-24,4.790000,4.840000,4.780000,4.820000,4.408192,92729293
2017-04-25,4.820000,4.830000,4.800000,4.810000,4.399046,63745827
2017-04-26,4.820000,4.870000,4.810000,4.870000,4.453919,85523283
2017-04-27,4.860000,4.880000,4.830000,4.880000,4.463065,103045540
2017-04-28,4.870000,4.880000,4.830000,4.880000,4.463065,66062290
2017-05-02,4.860000,4.870000,4.820000,4.820000,4.408192,42386657
2017-05-03,4.820000,4.830000,4.790000,4.810000,4.399046,76817862
2017-05-04,4.800000,4.820000,4.780000,4.810000,4.399046,71789608
2017-05-05,4.790000,4.870000,4.780000,4.860000,4.444774,125587515
2017-05-08,4.830000,4.900000,4.820000,4.900000,4.481357,141458489
2017-05-09,4.870000,4.910000,4.860000,4.870000,4.453919,77237372
2017-05-10,4.860000,4.910000,4.860000,4.900000,4.481357,92043116
2017-05-11,4.900000,4.960000,4.900000,4.930000,4.508793,106264449
2017-05-12,4.920000,5.060000,4.910000,5.060000,4.627687,165151106
2017-05-15,5.050000,5.120000,5.010000,5.100000,4.664269,155419012
2017-05-16,5.080000,5.080000,4.970000,5.000000,4.572813,149869732
2017-05-17,4.990000,5.000000,4.940000,4.960000,4.536230,118255241
2017-05-18,4.940000,5.020000,4.930000,5.000000,4.572813,70772200
2017-05-19,5.000000,5.010000,4.970000,4.980000,4.554522,44994834
2017-05-22,4.960000,5.050000,4.960000,5.030000,4.600250,100114561
2017-05-23,5.030000,5.120000,5.020000,5.100000,4.664269,137390290
2017-05-24,5.100000,5.130000,5.050000,5.110000,4.673415,95807853
2017-05-25,5.110000,5.300000,5.090000,5.160000,4.719142,251275643
2017-05-26,5.130000,5.250000,5.130000,5.230000,4.783162,112049688
2017-05-31,5.210000,5.290000,5.180000,5.250000,4.801454,117707354
2017-06-01,5.240000,5.320000,5.220000,5.310000,4.856328,114488351
2017-06-02,5.310000,5.400000,5.270000,5.300000,4.847182,120950101
2017-06-05,5.280000,5.280000,5.100000,5.140000,4.700851,312940449
2017-06-06,5.120000,5.150000,5.100000,5.140000,4.700851,110425338
2017-06-07,5.130000,5.210000,5.120000,5.160000,4.719142,162508706
2017-06-08,5.150000,5.180000,5.120000,5.160000,4.719142,142465432
2017-06-09,5.160000,5.230000,5.140000,5.160000,4.719142,231780237
2017-06-12,5.160000,5.190000,5.130000,5.150000,4.709997,160685574
2017-06-13,5.150000,5.170000,5.120000,5.150000,4.709997,93243486
2017-06-14,5.140000,5.160000,5.120000,5.150000,4.709997,73448903
2017-06-15,5.140000,5.150000,5.030000,5.050000,4.618541,197601299
2017-06-16,5.040000,5.060000,5.000000,5.040000,4.609395,138772483
